record_id,redcap_survey_identifier,kwtrp_survey_timestamp,designation,other,education_level,proficiency_level,mooc_use,mooc_experience,learning_preference,prefer_online_learning___1,prefer_online_learning___2,prefer_online_learning___3,prefer_online_learning___4,prefer_online_learning___5,prefer_online_learning___6,prefer_face_to_face___1,prefer_face_to_face___2,prefer_face_to_face___3,prefer_face_to_face___4,software___1,software___2,software___3,software___4,software___5,software___6,other_software,primary_software,other_primary_software,topics___1,topics___2,topics___3,topics___4,topics___5,topics___6,topics___7,topics___8,topics___9,topics___10,other_topics,idea,kwtrp_survey_complete
"41","","2014-04-29 15:40:21",8,"Laboratory Supervisor",2,4,2,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"prism",1,"",1,1,1,1,1,1,1,1,1,0,"",1,2
"42","","2014-04-29 15:51:29",8,"Data Manager",1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"",1,"",1,1,1,0,1,0,0,0,1,0,"",1,2
"43","","2014-04-29 16:47:37",4,"",3,2,2,,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"",1,"",1,1,1,1,0,0,0,1,1,0,"",2,2
"44","","2014-04-30 09:11:52",8,"Data manager",,3,2,,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,"EpInfo",1,"",1,1,1,0,1,0,0,1,1,0,"",1,2
"45","","2014-04-30 09:54:48",2,"",1,4,2,,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,"",1,"",1,1,1,0,1,0,1,0,1,0,"",1,2
"46","","2014-04-30 10:21:03",8,"Data Manager",1,3,2,,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,"",1,"",1,0,1,0,1,0,1,1,0,0,"",1,2
"47","","2014-04-30 10:46:55",2,"",2,2,1,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"",1,"",1,1,1,1,1,0,1,1,0,0,"",1,2
"48","","2014-04-30 15:00:29",7,"",2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,"",2,"",1,1,1,1,1,0,1,1,1,0,"",1,2
"49","","2014-05-02 10:55:52",3,"",2,4,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"",2,"",1,0,1,1,1,1,1,0,0,0,"",1,2
"50","","2014-05-06 10:12:47",7,"",1,2,2,,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,"",1,"",1,1,0,1,0,1,0,1,1,0,"",1,2
"51","","2014-05-13 15:08:57",3,"",1,3,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"",1,"",0,0,1,1,0,1,0,1,0,0,"",1,2
"52","","2014-05-19 14:25:01",2,"",2,3,2,,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"",2,"",1,1,0,1,0,1,0,1,1,0,"",1,2
"53","","2014-05-26 14:58:50",1,"",1,3,2,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"prism",1,"",1,1,1,0,1,0,1,1,0,0,"",1,2
"54","","2014-05-26 14:58:56",1,"",1,3,2,,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"",4,"",1,1,1,0,1,0,1,0,0,0,"",1,2
"55","","2014-05-26 15:04:19",1,"",1,3,2,,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,"",2,"",1,1,1,1,1,0,0,0,0,0,"",1,2
"56","","2014-05-26 15:13:41",7,"",1,3,2,,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"",2,"",1,1,1,1,1,1,1,1,0,1,"statistical modelling",2,2
"57","","2014-05-26 15:19:29",1,"",1,2,2,,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,"",1,"",1,1,1,1,0,0,1,1,0,0,"",1,2
"58","","2014-05-27 09:27:05",1,"",1,3,1,2,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,"",1,"",1,0,0,0,0,0,1,1,0,0,"",1,2
"59","","2014-06-09 09:08:20",8,"Clinical Research Fellow",4,2,2,,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,"",1,"",1,1,1,1,1,0,1,0,0,0,"",1,2
"60","","2014-06-23 08:43:31",2,"",1,4,2,,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"",2,"",1,1,1,1,1,0,0,0,1,0,"",1,2
